geoid,geoid20,year,denom_total_pop,well_count,well_rate
1400000US06037199300,6037199300,2020,4368,0,0
1400000US06037199400,6037199400,2020,4857,0,0
1400000US06037199700,6037199700,2020,3006,0,0
1400000US06037199801,6037199801,2020,3618,0,0
1400000US06037199802,6037199802,2020,2419,0,0
1400000US06037199900,6037199900,2020,2687,1,3.7216227
1400000US06037201110,6037201110,2020,2203,1,4.5392647
1400000US06037201120,6037201120,2020,4043,0,0
1400000US06037201200,6037201200,2020,2709,0,0
1400000US06037201301,6037201301,2020,4377,0,0
1400000US06037201302,6037201302,2020,4247,0,0
1400000US06037201401,6037201401,2020,4568,0,0
1400000US06037201402,6037201402,2020,4800,8,16.666666
1400000US06037201501,6037201501,2020,5560,0,0
1400000US06037201503,6037201503,2020,3330,0,0
1400000US06037201504,6037201504,2020,2151,0,0
1400000US06037201601,6037201601,2020,2445,0,0
1400000US06037201602,6037201602,2020,2971,0,0
1400000US06037201700,6037201700,2020,5194,1,1.9252985
1400000US06037203100,6037203100,2020,4615,0,0
1400000US06037203200,6037203200,2020,5631,0,0
1400000US06037203300,6037203300,2020,1899,1,5.2659292
1400000US06037203500,6037203500,2020,3153,4,12.686331
1400000US06037203601,6037203601,2020,2943,4,13.591573
1400000US06037203602,6037203602,2020,1873,0,0
1400000US06037203710,6037203710,2020,3636,1,2.7502751
1400000US06037203720,6037203720,2020,4014,0,0
1400000US06037203800,6037203800,2020,4803,0,0
